order_id,order_date,amount,product_id
200000,2023-01-20 14:42:00,86.05,23
200001,2023-01-11 10:23:00,57.43,40
200002,2023-01-24 02:21:00,24.77,2
200003,2023-01-28 20:32:00,39.08,22
200004,2023-01-29 11:24:00,29.11,28
200005,2023-01-28 15:14:00,52.96,47
200006,2023-01-30 18:43:00,51.75,7
200007,2023-01-21 08:38:00,21.56,25
200008,2023-01-28 13:49:00,50.57,44
200009,2023-01-29 07:46:00,20.71,17
200010,2023-01-04 17:39:00,79.38,4
200011,2023-01-22 17:25:00,47.04,10
200012,2023-01-30 03:13:00,90.93,40
200013,2023-01-21 15:44:00,21.14,24
200014,2023-01-26 12:40:00,22.56,8
200015,2023-01-24 10:50:00,70.42,35
200016,2023-01-03 00:58:00,17.13,7
200017,2023-01-09 07:11:00,37.62,48
200018,2023-01-23 22:23:00,62.23,35
200019,2023-01-01 02:36:00,203.37,3
200020,2023-01-01 04:25:00,28.54,13
200021,2023-01-19 06:48:00,41.53,32
200022,2023-01-04 04:22:00,55.02,13
200023,2023-01-07 18:21:00,127.73,42
200024,2023-01-13 20:05:00,47.17,11
200025,2023-01-26 22:27:00,30.84,33
200026,2023-01-01 19:12:00,118.61,9
200027,2023-01-30 04:32:00,24.51,44
200028,2023-01-24 14:58:00,54.61,49
200029,2023-01-30 16:57:00,185.5,39
200030,2023-01-02 02:48:00,27.5,23
200031,2023-01-05 00:00:00,36.45,2
200032,2023-01-21 11:25:00,238.34,11
200033,2023-01-24 16:37:00,33.73,34
200034,2023-01-06 21:10:00,101.22,6
200035,2023-01-16 02:19:00,42.75,36
200036,2023-01-19 02:18:00,44.86,40
200037,2023-01-01 10:27:00,66.68,50
200038,2023-01-23 09:34:00,19.29,1
200039,2023-01-16 11:04:00,136.29,9
200040,2023-01-09 02:18:00,89.66,11
200041,2023-01-17 07:35:00,144.15,20
200042,2023-01-30 02:47:00,26.75,35
200043,2023-01-16 08:35:00,72.54,33
200044,2023-01-14 20:47:00,96.32,17
200045,2023-01-01 15:11:00,58.85,22
200046,2023-01-23 21:45:00,64.47,8
200047,2023-01-27 01:20:00,58.23,28
200048,2023-01-15 00:04:00,55.35,49
200049,2023-01-17 11:27:00,51.49,46
200050,2023-01-21 05:34:00,87.84,46
200051,2023-01-21 02:59:00,118.6,21
200052,2023-01-23 00:02:00,34.97,3
200053,2023-01-08 13:23:00,32.46,47
200054,2023-01-22 22:01:00,26.46,40
200055,2023-01-01 08:42:00,72.24,39
200056,2023-01-29 09:54:00,52.47,7
200057,2023-01-25 03:44:00,19.31,8
200058,2023-01-14 15:13:00,121.15,2
200059,2023-01-23 21:50:00,39.32,22
200060,2023-01-26 21:48:00,18.13,37
200061,2023-01-01 07:52:00,44.55,44
200062,2023-01-05 06:03:00,109.27,35
200063,2023-01-23 07:51:00,16.79,50
200064,2023-01-28 09:29:00,11.63,26
200065,2023-01-05 20:22:00,32.03,12
200066,2023-01-21 00:57:00,130.99,48
200067,2023-01-25 07:44:00,33.68,16
200068,2023-01-29 06:04:00,55.15,16
200069,2023-01-19 04:21:00,16.85,14
200070,2023-01-28 04:46:00,25.63,12
200071,2023-01-16 15:20:00,58.27,33
200072,2023-01-30 04:22:00,22.48,5
200073,2023-01-13 03:15:00,29.71,2
200074,2023-01-17 19:23:00,68.26,43
200075,2023-01-05 11:02:00,107.49,40
200076,2023-01-10 10:43:00,31.65,50
200077,2023-01-03 22:16:00,63.18,29
200078,2023-01-26 09:25:00,40.6,50
200079,2023-01-13 10:28:00,8.27,25
200080,2023-01-21 03:09:00,62.5,35
200081,2023-01-16 03:17:00,47.89,32
200082,2023-01-24 22:31:00,130.16,25
200083,2023-01-03 08:29:00,132.91,20
200084,2023-01-16 21:12:00,135.53,19
200085,2023-01-26 14:15:00,48.71,35
